Student,LPIPS,SSIM
112590455.png,0.0,1.0
111590062.png,0.21543638408184052,0.6887471833373803
113590039.png,0.2823949456214905,0.6725701051117011
113590001.png,0.28619253635406494,0.6394044121481075
113590051.png,0.30040836334228516,0.6559107020063882
113370239.png,0.31147149205207825,0.6490595425544975
112590454.png,0.3146873414516449,0.6364819919587833
113590015.png,0.3250274062156677,0.6276128307040482
113590003.png,0.3254912197589874,0.6662484304858247
112590040.png,0.3283374309539795,0.6108730651300238
113590004.png,0.34268203377723694,0.7158990666296636
111590047.png,0.34537002444267273,0.6591466136152411
113590052.png,0.3463723659515381,0.6318620705595772
113590045.png,0.34773683547973633,0.595366064947885
113590021.png,0.3498501479625702,0.6077004102151458
111590028.png,0.3505164086818695,0.6825032273771962
113590031.png,0.3560471534729004,0.6253964646863671
110590455.png,0.3587767481803894,0.6403338908145848
113590022.png,0.36383432149887085,0.6038986870282754
113590026.png,0.3643530011177063,0.6626528825199931
113590018.png,0.3700164556503296,0.6250515616120744
113590044.png,0.37171316146850586,0.618952539020457
113590028.png,0.3764360249042511,0.5884171747518668
113590042.png,0.3769518733024597,0.5910657181887174
113590047.png,0.3787376880645752,0.7037795381652242
113590002.png,0.37922215461730957,0.621303219593245
113590043.png,0.3810229003429413,0.7288756705058957
114054809.png,0.3821816146373749,0.6397677801865397
113590011.png,0.3877928853034973,0.582729566621226
113590056.png,0.39051589369773865,0.6196329175650211
113AC1012.png,0.39286544919013977,0.618759577673208
113590025.png,0.3974938988685608,0.7227267615609081
113590062.png,0.40272998809814453,0.5801614762519224
113590023.png,0.40564149618148804,0.510399150359497
111590042.png,0.4131787419319153,0.7384054580209184
113590006.png,0.413607656955719,0.5509419727428166
113590059.png,0.4400046467781067,0.546402989862065
113590057.png,0.45169153809547424,0.5791516090817197
113590010.png,0.46013832092285156,0.5723897663653652
113590049.png,0.46294131875038147,0.4873168975743766
113590008.png,0.48222440481185913,0.49683850636727567
111590455.png,0.5101218819618225,0.5270150290945068
